306225073,-963366879,36
306226211,-963368995,28
306226211,-963368995,25
306226229,-963368936,23
306226229,-963368936,22
306226133,-963368788,22
306226133,-963368788,21
306225940,-963368554,22
306225940,-963368554,21
306225714,-963368279,22
306225714,-963368279,22
306225393,-963367972,24
306225393,-963367972,23
306225100,-963367708,22
306224914,-963367475,22
306224914,-963367475,31
306224800,-963367290,31
306224568,-963366979,30
306224568,-963366979,30
306224347,-963366734,33
306224347,-963366734,33
306223268,-963365304,29
306223268,-963365304,29
306223259,-963365291,28
306223259,-963365291,28
306223228,-963365237,29
306223228,-963365237,29
306223758,-963364555,29
306223758,-963364555,29
306223945,-963364336,29
306224104,-963364191,29
306224104,-963364191,32
306224500,-963363768,34
306224500,-963363768,34
306224725,-963363475,36
306224725,-963363475,36
306224925,-963363169,36
306224925,-963363169,36
306225185,-963362942,35
306225185,-963362942,37
306225185,-963362942,37
306225185,-963362942,38
306225296,-963363377,35
306225296,-963363377,37
306225302,-963363998,37
306225302,-963363998,38
306225232,-963364513,39
306225186,-963364675,40
306225054,-963365049,41
306225054,-963365049,42
306224937,-963365335,42
306224937,-963365335,42
306224669,-963365694,42
306224799,-963365821,40
306224799,-963365821,39
306225040,-963365697,35
306225040,-963365697,35
306225024,-963366449,34
306225281,-963366801,34
306225281,-963366801,34
306225509,-963367030,35
306225509,-963367030,35
306226757,-963367057,32
306226757,-963367057,30
306226757,-963367057,30
306226762,-963366738,24
306226787,-963366676,23
306226767,-963366719,25
306226767,-963366719,25
306226797,-963366602,25
306226797,-963366602,26
306226200,-963366557,27
306226200,-963366557,28
306225343,-963366640,28
306226125,-963365745,28
306226125,-963365745,29
306225960,-963365485,31
306225960,-963365485,31
306225455,-963365683,30
306225455,-963365683,30
306225035,-963365952,32
306224441,-963365019,31
306224441,-963365019,34
306224345,-963365026,35
306224345,-963365026,36
306224157,-963365102,38
306224157,-963365102,38
306224177,-963365685,36
306224177,-963365685,36
306224270,-963365996,35
306224270,-963365996,34
306224404,-963366316,34
306224404,-963366316,34
306224538,-963366494,34
306224600,-963366588,31
306224600,-963366588,31
306224747,-963366713,34
306224747,-963366713,32
306224762,-963366853,31
306224761,-963366879,30
306224793,-963366933,30
306224793,-963366933,30
306224957,-963367011,33
